repository,pr,ga,v_old,v_new,update_type
OpenFeign/querydsl,371,com.microsoft.sqlserver:mssql-jdbc,12.6.1.jre8,12.7.0.jre8-preview,minor
OpenFeign/querydsl,370,io.asyncer:r2dbc-mysql,1.1.2,1.1.3,patch
OpenFeign/querydsl,368,org.apache.maven.plugins:maven-source-plugin,3.3.0,3.3.1,patch
OpenFeign/querydsl,366,io.github.classgraph:classgraph,4.8.168,4.8.170,patch
OpenFeign/querydsl,363,org.jacoco:jacoco-maven-plugin,0.8.11,0.8.12,patch
OpenFeign/querydsl,361,net.bytebuddy:byte-buddy,1.14.12,1.14.13,patch
OpenFeign/querydsl,358,org.apache.maven.plugins:maven-gpg-plugin,3.2.1,3.2.2,patch
OpenFeign/querydsl,349,org.apache.maven.plugins:maven-compiler-plugin,3.12.1,3.13.0,minor
OpenFeign/querydsl,348,org.apache.maven.plugins:maven-gpg-plugin,3.2.0,3.2.1,patch
OpenFeign/querydsl,347,org.apache.maven.plugins:maven-assembly-plugin,3.7.0,3.7.1,patch
OpenFeign/querydsl,345,io.smallrye:jandex,3.1.6,3.1.7,patch
OpenFeign/querydsl,344,org.postgresql:postgresql,42.7.2,42.7.3,patch
OpenFeign/querydsl,341,com.google.guava:guava,33.0.0-jre,33.1.0-jre,minor
OpenFeign/querydsl,339,org.xerial:sqlite-jdbc,3.45.1.0,3.45.2.0,patch
OpenFeign/querydsl,336,org.apache.maven.plugins:maven-gpg-plugin,3.1.0,3.2.0,minor
OpenFeign/querydsl,335,org.apache.maven.plugins:maven-assembly-plugin,3.6.0,3.7.0,minor
OpenFeign/querydsl,334,org.firebirdsql.jdbc:jaybird,5.0.3.java11,5.0.4.java11,patch
OpenFeign/querydsl,333,org.apache.logging.log4j:log4j-core,2.23.0,2.23.1,patch
OpenFeign/querydsl,332,com.github.ekryd.sortpom:sortpom-maven-plugin,3.4.0,3.4.1,patch
OpenFeign/querydsl,330,io.github.classgraph:classgraph,4.8.165,4.8.168,patch
OpenFeign/querydsl,327,com.github.siom79.japicmp:japicmp-maven-plugin,0.19.1,0.20.0,minor
OpenFeign/querydsl,325,org.jetbrains.dokka:dokka-maven-plugin,1.9.10,1.9.20,patch
OpenFeign/querydsl,324,com.github.siom79.japicmp:japicmp-maven-plugin,0.18.5,0.19.1,minor
OpenFeign/querydsl,321,io.asyncer:r2dbc-mysql,1.1.1,1.1.2,patch
OpenFeign/querydsl,316,org.apache.logging.log4j:log4j-core,2.22.1,2.23.0,minor
OpenFeign/querydsl,312,com.microsoft.sqlserver:mssql-jdbc,12.6.0.jre8,12.6.1.jre8,patch
OpenFeign/querydsl,311,com.github.ekryd.sortpom:sortpom-maven-plugin,3.3.0,3.4.0,minor
OpenFeign/querydsl,310,org.postgresql:postgresql,42.7.1,42.7.2,patch
