repository,sha
Andrewcpu/elevenlabs-api,"fa4c8bf5dbcea7bec5be119642a5554f00417afd
"
Chang-LeHung/SPL,"d11d39ab3132f3840009710befd7261b46896163
"
DSO-TECHINFO/bancodelapeseta-backend,"9a9373a238c92cca38698e75edb38deb7c20fa54
"
Dogloverblue/Lorcana-API,"414f78e3c801eed88bd5ba3c5e238d4ff5f0d6f1
"
ExtendRent/backend_project,"d82504084776d930bdae6d54cef05f2863c62d52
"
Flmelody/windward,"df2a76df3f55d50b1aedbab5ee4ca4a24d16c8e3
"
FranzHaidnor/haidnorJVM,"4187b1e597a28b066e3123a2655058b7f9071558
"
HiranChaudhuri/OoliteStarter,40e898bc77e724f2c7b7b5ccf507b35ede7adce0
IHTSDO/snowstorm-lite,2166bda79f491a055027c4446995f3398013330c
InfluxCommunity/influxdb3-java,5bed9edcaf0bc517d3971efb31c0de0a3406d0f4
JordanSamhi/AndroSpecter,186f3186f2c7efb36ee7e9315502b580b5effe21
KingPrimes/NyxBot,"001c6a17ee22c7ca0973b91923b90799344bf247
"
LarryDpk/Google-Bard,"754edcf0fa04a4a68bdd8c0c2bddc94b7ab794ad
"
MirnaGama/hospital-management-api,"c372590e28e7857cc64590b26e43cedb58117b44
"
Natural-Intelligence/openLineage-openMetadata-transporter,"b452c91ffc60c868f85054207f0ee8551e6bc449
"
PramodKumarYadav/restpro,"717ba2126d92abe23c0c908667c31c0aa9514098
"
Rapter1990/bookdelivery,"a039c20564a3f91750341e53c5da74e901d64e1c
"
Rapter1990/currencyexchange,9134d659228a1a62e3f7e727ff4c2553bccc62a9
Rapter1990/parkinglot,"4d49cf0b84d5eb70ac696bcc0974a58b147a63e2
"
Rapter1990/springbootsecurity,"2ec9bea644a6f2885962e25f5362b5b3e465e955
"
RomaKudryavtsev/java-linkmancer,"2f732c72645acd32b5a3516154674064e5c4e71c
"
SpringBootCourses/tasklist,"b405d9530256b2ad6b43c72afe0f2f485fff3a64
"
Szogunn/MessengerX,ac13b15e31d504015116c4fb610e7dc8075461b7
TongchengOpenSource/ckibana,"b50fd71dfece924d7ff56e5488cb2d0e7cdcf10c
"
Wilson-Pedro/Servico-de-viagem-API,"300bbc3aa76752b4556c45ceadf92d428bfe0f91
"
YehiaFarghaly/database-engine,"4639ac0e7987e6cc921bd6fe9a5694e735524497
"
YiHeCN/notion-java-sdk,cc05e0ed5cdf4647958f42f68b63eca96f9bb03e
ai-for-java/ai4j,"3382afa163fea1cf6c642c1b471b9f56fdba98c9
"
ai-for-java/openai4j,"e4d41a0463c6ad8fdd88d709026dbab2a762fe67
"
ali-bouali/bootcamp-spring-boot,"f9e12df395cd0d6935e9fd1d5d58e1430ec6ffd7
"
anarsultanov/keycloak-multi-tenancy,"bfa74c62bfbc7d1d5613cbcbe23d73a2726a5168
"
antoniorws/roadmap-java,"0daf42f39e19cac47305fb2d52442e77af26cc09
"
awslabs/dqdl,6138ac9efbab77433802422fffb89af27c5533be
awslabs/eventbridge-kafka-connector,"e83d9e895619ed54e09d656c11885baafac24e0d
"
brenoepics/at4j,"ae37891fe8cc15c8e08f88aa7ffd78b4d247fa05
"
britka/playwrightium,"7e3175140e3ee163f3661af54d39580ba00d8687
"
cardano-foundation/cf-adahandle-resolver,"7f58a89fab3bd8bef052e21ab3af4e75f5b3403c
"
cupybara/java-langchains,"28a4ad79c72801e4df5dbe6cc5456b31686c487f
"
descope/descope-java,"32e119e87f406367c31ed4ef0ac487bedb54a9b5
"
devlive-community/openai-java-sdk,"a990304875463e6b619805ecf7aa0be1b425c437
"
electronic-pig/gkvr_system_backend,"2f59e915fec567a38beddfd78bbca1f75321cc3c
"
eo-cqrs/eo-kafka,"654e4ae93f4dee902eae615a6c07112f4b06e338
"
extrawest/Charge-Point-Simulator-via-OCPP-2.0.1,"c6e40128a53da3035fe31d3f4fe8113f82c7c7ab
"
feiniaojin/graceful-response-boot2,"c210918f563b27b5ebba24250ab390eb3cc84887
"
filelize/filelize-java,"40e08b1e56343c9bf29a9bd78c9f27e105da3632
"
flamhaze5946/kline-proxy,"953ac3234d89549942d94eec3c5161a55ad3209b
"
gcatanese/openapi-request-response-validation,2d3edfbc8d1ae7abf938c2d0e78df33e9ef854a3
gurkanucar/spring-boot-test,"fb88cbcab1b332aabd59e2c502b35543c8cda939
"
harmonyzhang/whatsapp-business-java-sdk,"6d59e8c4718cda208a5f3904a3e32475759b0b4a
"
janlely/jparser,4e4937d544461f4bb3b59cc1075b1ada280d26a2
jpmorganchase/fusion-java-sdk,e4d5abcc019dd0fa57a0814261d6b743587de812
junghoon-vans/spring-data-meilisearch,"007999a937002bffe96949e5055bcff1aeeaf368
"
jushahulian/java-go-python,"d44865f96c899732873e76bbd2e183af4e35974c
"
jwkerr/Quarters,"3dfeacc707be77eeb32ab5a624b4165b0cb29b35
"
kingschan1204/easyCrawl,a24a3d648c5f763fb2ea6009ccacd66066f804bd
leileiluoluo/boyouquan,f980a6922cb348edcece07bd405a6f450e26ee00
leluque/java2uml,"7c7680da64008cf7d7ef31748d75303b4ea1aea0
"
linux-china/chatgpt-spring-boot-starter,"b4e5d085845deda5e84f551dbf494c5d091387d7
"
liquibase/liquibase-databricks,"4294273cff93a5dc6adeb7b2aef4bf1b04c50135
"
logaritex/assistant-api,"8af1bb6e1daa96420be9fda3f67642bbd1bab732
"
lvivco/mdcfg,"948727273b07f957baedd4ef75ecf3406866063f
"
making/retryable-client-http-request-interceptor,a8db32c471c3cde9e254efd8d17f35903d319d83
maxisandoval37/webapp-maxcotas,"029105cd47421a859c9e3d85375a680993c89875
"
mervekeser/delta-rental,"a62aa703fbbfc56f429d932bdc056877a69bc832
"
mfoo/libyear-maven-plugin,ba54ab81b0f80c117c2a491907dbc04895cee100
microcks/microcks-testcontainers-java,636b45312a8937f152970d70896e4030b73c892d
microsoft/lst-bench,"364e21b223d40cff7ec3ba5d6449a117f061f291
"
micw/tibber-pulse-reader,"73247a11586f93787294ce33b35a11f305f17a36
"
mipo256/properties-maven-plugin,"2ab2e8ebc17f3b39eafdd09d6c05f51221b1af17
"
novuhq/novu-java,"156a80980b599cb274a4508c7fe81276f229074f
"
objectionary/jeo-maven-plugin,"7a800a4c6d30052ea10cc8d96493b1762c7a786d
"
oehf/xds-registry-to-fhir,2cf3520367ded9711f57357634580e5904f007da
oktadev/auth0-spring-boot-angular-crud-example,"5eae66095b0d0b16ed7042321e2cb23f29f4a456
"
ollama4j/ollama4j,2df878c95358c93461b947a911a97d7ec7e2b5c3
onurhizar/spring-boot-gamepass-app,"596ac7765bf1db3054e5f000f233545fefae74ed
"
pgvector/pgvector-java,"45d8b38d292de8d1855d32d4123e8b8504bd01c0
"
praveensirvi1212/DevSecOps-project,"cf8011475f91173a7bffa1a5c03ec7bf685116dc
"
pro-crafting/Jasper-report-maven-plugin,"b2e83e25986334574151a3085576d050f81b6c54
"
qdrant/qdrant-spark,"e50330ca3a69ec80808ac86f30190f97864d4fec
"
qiuapeng921/DnfHelper-Java,"b95ca97973cb2a043941b0f38db1082658db20d1
"
rabobank/shadow-tool,3f892768aba44663d18def4a1cddb7d94d0794eb
rcaneppele/simple-openai-client,"5d4919c993c823cf249019be06b1f1ebe7809e24
"
reactiveclown/openai-webflux-java,"bf1a3aef5b2e14e340625a134b5fbb44d93fa3c8
"
rocketseat-education/ignite-java-gestao-vagas,"5e955fe5f58f95749286735ddcc8fab1f39b765c
"
sarjdev/back-end,"833a5e2953366c2eb242320dc9f8e4332295bb40
"
sashirestela/simple-openai,"e4b7555f6dbbca28c5e352c3d30ffc844abdb1ba
"
sid10t/netty-demo,"46e268080223bfd051787eadcc5b21e4a89f3698
"
sngular/pact-annotation-processor,"5e906dbf9880f71663f74130319309772f070746
"
